Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.01,5.69521,0.49568982,2388,-2.469,3.372,0.341
0.01,5.702261,0.503803291,2387,-2.474,3.377,0.339
0.01,5.709309,0.512046026,2387,-2.479,3.381,0.337
0.01,5.723397,0.528928538,2386,-2.488,3.391,0.334
0.01,5.730433,0.537567494,2386,-2.493,3.395,0.332
0.01,5.744493,0.555255667,2385,-2.503,3.404,0.329
0.01,5.751519,0.564311629,2384,-2.508,3.409,0.327
0.01,5.765566,0.582862346,2383,-2.518,3.418,0.323
0.01,5.772584,0.592357648,2383,-2.523,3.423,0.322
0.01,5.779597,0.602000705,2382,-2.528,3.427,0.32
0.01,5.793615,0.621748863,2381,-2.538,3.437,0.317
0.01,5.800622,0.631861654,2381,-2.543,3.441,0.315
0.01,5.814632,0.652577356,2379,-2.553,3.45,0.312
0.01,5.821635,0.663185466,2379,-2.558,3.455,0.31
0.01,5.835638,0.684917086,2377,-2.568,3.464,0.307
0.01,5.842639,0.696047696,2376,-2.574,3.469,0.305
0.01,5.849638,0.707355932,2376,-2.579,3.473,0.304
0.01,5.863639,0.730531589,2374,-2.589,3.482,0.3
0.01,5.870643,0.74240861,2373,-2.594,3.487,0.299
0.01,5.884662,0.766764504,2372,-2.604,3.496,0.296
0.01,5.891678,0.779252134,2371,-2.61,3.5,0.294
0.01,5.905728,0.804874188,2368,-2.621,3.509,0.291
0.01,5.912768,0.818027681,2366,-2.626,3.514,0.29
0.01,5.919817,0.831413362,2365,-2.632,3.518,0.288
0.01,5.933952,0.858918585,2362,-2.643,3.528,0.285
0.01,5.941039,0.873049765,2360,-2.649,3.532,0.284
0.01,5.955249,0.902088196,2357,-2.66,3.541,0.281
0.01,5.96237,0.917001403,2355,-2.666,3.546,0.279
0.01,5.969501,0.932182617,2354,-2.672,3.55,0.278
0.01,5.983794,0.963371957,2350,-2.683,3.559,0.275
0.01,5.990957,0.97939301,2349,-2.689,3.564,0.274
0.01,6.005314,1.012311103,2345,-2.701,3.573,0.271
0.01,6.012504,1.029210007,2343,-2.706,3.577,0.269
0.01,6.019702,1.046410286,2342,-2.712,3.582,0.268
0.01,6.034119,1.081730313,2338,-2.724,3.59,0.265
0.01,6.041337,1.099858967,2336,-2.73,3.595,0.264
0.01,6.055795,1.137090418,2332,-2.742,3.604,0.261
0.01,6.063033,1.156200093,2330,-2.748,3.608,0.26
0.01,6.070271,1.17563092,2328,-2.754,3.613,0.258
0.01,6.084773,1.215550482,2324,-2.766,3.622,0.256
0.01,6.092029,1.236029967,2322,-2.772,3.626,0.255
0.01,6.099294,1.256880534,2319,-2.778,3.63,0.253
0.01,6.11384,1.299690666,2315,-2.79,3.639,0.251
0.01,6.12112,1.321660772,2313,-2.796,3.644,0.249
0.01,6.135702,1.366790653,2308,-2.808,3.653,0.247
0.01,6.143005,1.389968634,2306,-2.814,3.657,0.246
0.01,6.150317,1.41356896,2303,-2.821,3.661,0.244
0.01,6.164736,1.461288613,2298,-2.833,3.67,0.242
0.01,6.172074,1.486188854,2295,-2.84,3.674,0.241
0.01,6.179428,1.511569081,2292,-2.846,3.679,0.24
0.01,6.194181,1.563799248,2286,-2.86,3.687,0.237
0.01,6.201583,1.590680657,2283,-2.866,3.692,0.236
0.01,6.209003,1.618091215,2280,-2.873,3.696,0.235
0.01,6.22389,1.674518693,2274,-2.886,3.705,0.232
0.01,6.231363,1.703581833,2271,-2.893,3.709,0.231
0.01,6.246363,1.763449389,2264,-2.907,3.718,0.229
0.01,6.253895,1.794299764,2261,-2.914,3.722,0.228
0.01,6.261444,1.825761312,2258,-2.921,3.727,0.227
0.01,6.269015,1.857868622,2254,-2.928,3.731,0.226
0.01,6.284223,1.924079445,2247,-2.942,3.739,0.223
0.01,6.291861,1.958217827,2243,-2.949,3.744,0.222
0.01,6.299523,1.993072055,2240,-2.956,3.748,0.221
0.01,6.31491,2.064952186,2232,-2.97,3.757,0.219
0.01,6.322637,2.102020756,2229,-2.977,3.761,0.218
0.01,6.330385,2.139858223,2225,-2.985,3.765,0.217
0.01,6.345948,2.217930841,2217,-2.999,3.774,0.215
0.01,6.353762,2.258197904,2213,-3.007,3.778,0.214
0.01,6.361598,2.299312498,2209,-3.014,3.782,0.213
0.01,6.369455,2.341288867,2205,-3.022,3.787,0.212
0.01,6.385234,2.427917917,2196,-3.037,3.795,0.21
0.01,6.39315,2.472577996,2192,-3.045,3.799,0.208
0.01,6.401087,2.518181332,2188,-3.052,3.804,0.207
0.01,6.40904,2.564720245,2184,-3.06,3.808,0.206
0.01,6.425004,2.660749566,2175,-3.075,3.816,0.204
0.01,6.433016,2.710291481,2170,-3.083,3.82,0.203
0.01,6.441049,2.760889341,2166,-3.091,3.825,0.203
0.01,6.449103,2.812567798,2161,-3.099,3.829,0.202
0.01,6.465282,2.919321999,2152,-3.115,3.837,0.2
0.01,6.473408,2.974459089,2147,-3.123,3.841,0.199
0.01,6.481562,3.030832949,2142,-3.131,3.846,0.198
0.01,6.489743,3.088467247,2137,-3.139,3.85,0.197
0.01,6.506198,3.207731434,2127,-3.156,3.858,0.195
0.01,6.514472,3.269429674,2122,-3.164,3.862,0.194
0.01,6.522779,3.332567848,2117,-3.172,3.866,0.193
0.01,6.531121,3.397199097,2112,-3.181,3.87,0.192
0.01,6.539498,3.463362897,2106,-3.189,3.875,0.191
0.01,6.55636,3.60047666,2094,-3.207,3.883,0.189
0.01,6.564862,3.671656126,2088,-3.217,3.887,0.189
0.01,6.573421,3.744734225,2081,-3.227,3.891,0.188
0.01,6.582037,3.819768122,2074,-3.236,3.895,0.187
0.01,6.590713,3.896843818,2067,-3.246,3.899,0.186
0.01,6.599444,3.97597825,2060,-3.256,3.903,0.185
0.01,6.617082,4.140778503,2046,-3.277,3.911,0.183
0.01,6.625987,4.226559625,2039,-3.287,3.916,0.182
0.01,6.634951,4.314703927,2031,-3.297,3.92,0.182
0.01,6.643971,4.405254465,2024,-3.308,3.924,0.181
0.01,6.653048,4.498295691,2016,-3.318,3.928,0.18
0.01,6.662184,4.593926051,2009,-3.329,3.932,0.179
0.01,6.671377,4.692205238,2001,-3.34,3.936,0.178
0.01,6.680627,4.793215996,1988,-3.354,3.94,0.177
0.01,6.690018,4.897991194,1975,-3.37,3.944,0.177
0.01,6.699242,5.003132447,1961,-3.386,3.948,0.176
0.01,6.718837,5.23403955,1933,-3.42,3.955,0.174
0.01,6.728901,5.356745334,1918,-3.437,3.959,0.173
0.01,6.739151,5.484676287,1902,-3.455,3.963,0.173
0.01,6.749593,5.618145727,1893,-3.467,3.967,0.172
0.01,6.760093,5.755631755,1885,-3.479,3.971,0.171
0.01,6.770617,5.896808171,1877,-3.49,3.975,0.17
0.01,6.781146,6.041516974,1869,-3.502,3.979,0.17
0.01,6.791656,6.189506167,1861,-3.513,3.983,0.169
0.01,6.802137,6.340696996,1852,-3.525,3.987,0.168
0.01,6.812598,6.495281832,1844,-3.536,3.991,0.167
0.01,6.823039,6.65332901,1836,-3.548,3.994,0.167
0.01,6.833459,6.81489235,1827,-3.559,3.998,0.166
0.01,6.843869,6.98021822,1819,-3.571,4.002,0.165
0.01,6.854282,7.149604199,1811,-3.583,4.005,0.164
0.01,6.8647,7.323184907,1803,-3.594,4.009,0.164
0.01,6.875107,7.500789885,1784,-3.616,4.013,0.163
0.01,6.885804,7.687834049,1760,-3.642,4.016,0.162
0.01,6.896882,7.886458095,1737,-3.669,4.02,0.162
0.01,6.908324,8.096997403,1714,-3.696,4.023,0.161
0.01,6.920144,8.320396066,1692,-3.721,4.026,0.161
0.01,6.932291,8.556398443,1673,-3.744,4.03,0.16
0.01,6.944686,8.804120946,1654,-3.767,4.033,0.159
0.01,6.957357,9.064774399,1635,-3.791,4.036,0.159
0.01,6.970319,9.339400509,1615,-3.815,4.04,0.158
0.01,6.983581,9.62899586,1597,-3.839,4.043,0.157
0.01,6.997108,9.933630464,1584,-3.856,4.046,0.157
0.01,7.010724,10.25000318,1570,-3.874,4.05,0.156
0.01,7.024432,10.57869266,1557,-3.892,4.053,0.156
0.01,7.038247,10.92061257,1544,-3.911,4.056,0.155
0.01,7.052155,11.27599826,1530,-3.929,4.059,0.155
0.01,7.066169,11.64579122,1517,-3.947,4.062,0.154
0.01,7.080287,12.03059204,1504,-3.965,4.066,0.153
0.01,7.094513,12.43119846,1496,-3.978,4.069,0.153
0.01,7.108629,12.84189161,1490,-3.988,4.072,0.152
0.01,7.12258,13.26111374,1484,-3.998,4.075,0.152
0.01,7.136375,13.68910328,1478,-4.008,4.078,0.151
0.01,7.150028,14.12628617,1472,-4.019,4.081,0.151
0.01,7.163549,14.57300118,1466,-4.029,4.084,0.15
0.01,7.176942,15.02941235,1459,-4.039,4.087,0.15
0.01,7.190214,15.49579991,1453,-4.05,4.09,0.149
0.01,7.203376,15.97261413,1447,-4.06,4.093,0.149
0.01,7.216427,16.45989271,1441,-4.071,4.096,0.148
0.01,7.229375,16.95801441,1434,-4.082,4.099,0.148
0.01,7.242228,17.46738932,1428,-4.092,4.102,0.147
0.01,7.254988,17.98821211,1421,-4.103,4.105,0.147
0.01,7.267648,18.52029926,1415,-4.114,4.108,0.146
0.01,7.280209,19.06377923,1408,-4.125,4.111,0.146
0.01,7.292677,19.619006,1401,-4.136,4.114,0.145
0.01,7.305055,20.1862199,1395,-4.146,4.116,0.145
0.01,7.317439,20.77011973,1389,-4.157,4.119,0.144
0.01,7.329733,21.36648095,1383,-4.167,4.122,0.144
0.01,7.341917,21.9743987,1377,-4.178,4.125,0.143
0.01,7.353993,22.59399353,1371,-4.188,4.128,0.143
0.01,7.365959,23.22517526,1365,-4.199,4.13,0.142
0.01,7.377816,23.8679984,1358,-4.21,4.133,0.142
0.01,7.389567,24.52262743,1352,-4.22,4.136,0.142
0.01,7.401207,25.18877227,1346,-4.231,4.138,0.141
0.01,7.412741,25.86669844,1339,-4.242,4.141,0.141
0.01,7.424181,26.55712147,1332,-4.254,4.143,0.14
0.01,7.435531,27.26032317,1326,-4.265,4.146,0.14
0.01,7.446796,27.9766687,1319,-4.276,4.148,0.139
0.01,7.457979,28.70641771,1312,-4.288,4.151,0.139
0.01,7.469081,29.44970847,1305,-4.3,4.153,0.139
0.01,7.480108,30.20702813,1298,-4.311,4.156,0.138
0.01,7.491136,30.98389413,1291,-4.324,4.158,0.138
0.01,7.502295,31.79032735,1283,-4.336,4.161,0.138
0.01,7.513409,32.61437046,1276,-4.349,4.163,0.137
0.01,7.524484,33.45676917,1268,-4.362,4.165,0.137
0.01,7.535527,34.31839748,1260,-4.374,4.168,0.136
0.01,7.546543,35.20002728,1253,-4.387,4.17,0.136
0.01,7.557531,36.10197823,1245,-4.4,4.172,0.136
0.01,7.568502,37.02559105,1237,-4.413,4.175,0.135
0.01,7.579462,37.97187128,1230,-4.426,4.177,0.135
0.01,7.590417,38.9418877,1222,-4.44,4.179,0.135
0.01,7.601374,39.93686774,1214,-4.453,4.181,0.134
0.01,7.612341,40.95821298,1206,-4.467,4.183,0.134
0.015,5.693523,0.493768067,2514,-2.208,3.376,0.416
0.015,5.700525,0.501793464,2514,-2.212,3.381,0.413
0.015,5.714518,0.51822457,2514,-2.222,3.391,0.409
0.015,5.721508,0.526632916,2514,-2.226,3.395,0.407
0.015,5.735479,0.543849834,2515,-2.235,3.405,0.402
0.015,5.742459,0.552661231,2515,-2.24,3.409,0.4
0.015,5.749435,0.561610217,2515,-2.245,3.414,0.398
0.015,5.763375,0.579929231,2515,-2.254,3.424,0.394
0.015,5.770339,0.589303472,2515,-2.258,3.428,0.391
0.015,5.784256,0.608493579,2516,-2.268,3.438,0.387
0.015,5.79121,0.61831531,2516,-2.272,3.442,0.385
0.015,5.805106,0.638419289,2516,-2.281,3.452,0.381
0.015,5.811925,0.648522428,2516,-2.286,3.456,0.379
0.015,5.825797,0.669571562,2516,-2.295,3.466,0.375
0.015,5.832728,0.680343124,2516,-2.3,3.47,0.373
0.015,5.839656,0.691283196,2516,-2.304,3.475,0.371
0.015,5.853502,0.713677492,2516,-2.314,3.484,0.367
0.015,5.86042,0.725136891,2516,-2.318,3.489,0.365
0.015,5.874248,0.748596858,2516,-2.328,3.498,0.361
0.015,5.881157,0.760601189,2516,-2.333,3.503,0.359
0.015,5.894983,0.785204898,2515,-2.343,3.512,0.355
0.015,5.901902,0.797814637,2514,-2.348,3.517,0.354
0.015,5.915753,0.823669529,2513,-2.358,3.526,0.35
0.015,5.922687,0.836925885,2512,-2.363,3.531,0.348
0.015,5.929624,0.850401466,2512,-2.368,3.535,0.346
0.015,5.943516,0.878043435,2510,-2.378,3.545,0.342
0.015,5.950469,0.892213931,2510,-2.383,3.549,0.341
0.015,5.964388,0.921272272,2508,-2.394,3.558,0.337
0.015,5.971351,0.936161981,2507,-2.399,3.563,0.335
0.015,5.985288,0.966691723,2506,-2.409,3.572,0.332
0.015,5.992261,0.982338126,2505,-2.414,3.577,0.33
0.015,5.999236,0.998242371,2504,-2.419,3.581,0.328
0.015,6.013195,1.030848872,2503,-2.43,3.591,0.325
0.015,6.020179,1.047560224,2502,-2.435,3.595,0.323
0.015,6.034151,1.081810021,2500,-2.445,3.604,0.32
0.015,6.041144,1.0993703,2499,-2.45,3.609,0.318
0.015,6.05513,1.135350616,2497,-2.461,3.618,0.315
0.015,6.062123,1.153779983,2496,-2.466,3.623,0.313
0.015,6.06912,1.1725193,2495,-2.471,3.627,0.311
0.015,6.083115,1.210918739,2493,-2.482,3.637,0.308
0.015,6.090117,1.230600253,2492,-2.487,3.641,0.306
0.015,6.104122,1.270931079,2490,-2.498,3.65,0.303
0.015,6.111125,1.29159097,2489,-2.503,3.655,0.302
0.015,6.12514,1.333951378,2487,-2.514,3.664,0.298
0.015,6.132151,1.355660681,2486,-2.519,3.668,0.297
0.015,6.139164,1.377729634,2485,-2.524,3.673,0.295
0.015,6.153202,1.422990498,2482,-2.535,3.682,0.292
0.015,6.160228,1.446198811,2481,-2.541,3.686,0.291
0.015,6.174295,1.493808753,2478,-2.551,3.696,0.288
0.015,6.181338,1.518231508,2477,-2.557,3.7,0.286
0.015,6.19544,1.568339209,2474,-2.568,3.709,0.283
0.015,6.202505,1.594061233,2473,-2.573,3.714,0.282
0.015,6.209579,1.620238695,2472,-2.579,3.718,0.28
0.015,6.223758,1.674009815,2469,-2.59,3.727,0.278
0.015,6.230863,1.70162164,2467,-2.595,3.732,0.276
0.015,6.245103,1.758340584,2465,-2.606,3.74,0.273
0.015,6.252239,1.787470981,2463,-2.612,3.745,0.272
0.015,6.259386,1.817130006,2462,-2.617,3.749,0.27
0.015,6.273719,1.878101242,2459,-2.628,3.758,0.268
0.015,6.280904,1.909431136,2457,-2.634,3.763,0.266
0.015,6.295314,1.973849337,2454,-2.645,3.772,0.264
0.015,6.302537,2.006952066,2452,-2.651,3.776,0.262
0.015,6.309773,2.040671034,2451,-2.656,3.781,0.261
0.015,6.324285,2.110012363,2447,-2.667,3.79,0.258
0.015,6.331561,2.145660469,2446,-2.673,3.794,0.257
0.015,6.346157,2.218998456,2442,-2.684,3.803,0.254
0.015,6.353474,2.256700889,2441,-2.69,3.807,0.253
0.015,6.36062,2.294140437,2439,-2.696,3.812,0.252
0.015,6.37532,2.373121642,2435,-2.707,3.821,0.249
0.015,6.38269,2.41373729,2433,-2.713,3.825,0.248
0.015,6.39008,2.455161131,2431,-2.719,3.829,0.247
0.015,6.404906,2.540422789,2427,-2.73,3.838,0.244
0.015,6.412343,2.584300431,2425,-2.736,3.843,0.243
0.015,6.419797,2.629038827,2423,-2.742,3.847,0.242
0.015,6.434768,2.72124723,2419,-2.754,3.856,0.239
0.015,6.442284,2.768751635,2417,-2.76,3.86,0.238
0.015,6.449822,2.817228025,2415,-2.766,3.865,0.237
0.015,6.464975,2.917259078,2410,-2.778,3.873,0.234
0.015,6.472596,2.968902941,2408,-2.784,3.878,0.233
0.015,6.480247,3.021669772,2406,-2.79,3.882,0.232
0.015,6.495659,3.130826492,2401,-2.802,3.891,0.23
0.015,6.503411,3.187212353,2399,-2.808,3.895,0.229
0.015,6.511221,3.245047065,2396,-2.814,3.899,0.228
0.015,6.519082,3.304319247,2393,-2.82,3.904,0.226
0.015,6.534972,3.427456882,2388,-2.833,3.912,0.224
0.015,6.543011,3.491491588,2385,-2.839,3.917,0.223
0.015,6.551119,3.557287776,2382,-2.845,3.921,0.222
0.015,6.559302,3.624949828,2380,-2.852,3.925,0.221
0.015,6.575916,3.766309451,2374,-2.865,3.934,0.219
0.015,6.584361,3.840263283,2371,-2.871,3.938,0.218
0.015,6.592906,3.916570965,2368,-2.877,3.942,0.217
0.015,6.601559,3.99538836,2365,-2.884,3.946,0.216
0.015,6.61033,4.076899446,2362,-2.89,3.951,0.215
0.015,6.619229,4.161299747,2359,-2.897,3.955,0.213
0.015,6.637458,4.339682932,2353,-2.91,3.963,0.211
0.015,6.646813,4.434176745,2350,-2.916,3.968,0.21
0.015,6.65635,4.532627193,2346,-2.923,3.972,0.209
0.015,6.666085,4.635376343,2343,-2.929,3.976,0.208
0.015,6.676037,4.742823903,2340,-2.936,3.98,0.207
0.015,6.686226,4.855411024,2337,-2.942,3.984,0.206
0.015,6.696678,4.973681834,2334,-2.949,3.988,0.205
0.015,6.70742,5.098236759,2330,-2.956,3.993,0.204
0.015,6.718487,5.229823112,2327,-2.962,3.997,0.203
0.015,6.729915,5.369266989,2324,-2.969,4.001,0.203
0.015,6.741749,5.517584589,2320,-2.975,4.005,0.202
0.015,6.754041,5.675981875,2317,-2.982,4.009,0.201
0.015,6.766552,5.841871502,2313,-2.989,4.013,0.2
0.015,6.778949,6.011031447,2310,-2.995,4.016,0.199
0.015,6.791223,6.183338185,2307,-3.001,4.02,0.198
0.015,6.803368,6.358695085,2304,-3.006,4.023,0.197
0.015,6.815376,6.536962596,2301,-3.011,4.026,0.197
0.015,6.827243,6.718046414,2298,-3.016,4.029,0.196
0.015,6.838968,6.90188947,2295,-3.021,4.032,0.195
0.015,6.850554,7.08849439,2292,-3.026,4.035,0.195
0.015,6.861995,7.277714257,2289,-3.031,4.037,0.194
0.015,6.873289,7.469456459,2287,-3.035,4.039,0.194
0.015,6.884432,7.663585376,2284,-3.039,4.041,0.193
0.015,6.895423,7.860008216,2282,-3.043,4.043,0.193
0.015,6.90626,8.058607432,2280,-3.046,4.045,0.192
0.015,6.918917,8.296921861,2277,-3.05,4.047,0.192
0.015,6.933636,8.582938487,2274,-3.055,4.05,0.191
0.015,6.950663,8.926125733,2271,-3.06,4.052,0.191
0.015,6.970252,9.337959801,2268,-3.065,4.055,0.19
0.015,6.992649,9.83216142,2265,-3.07,4.058,0.19
0.015,7.018084,10.42519051,2261,-3.076,4.06,0.189
0.015,7.04676,11.13678922,2257,-3.082,4.064,0.188
0.015,7.078848,11.9907956,2252,-3.089,4.067,0.188
0.015,7.114464,13.01559421,2248,-3.096,4.071,0.187
0.015,7.153205,14.23000327,2242,-3.105,4.075,0.186
0.015,7.187456,15.39770518,2237,-3.113,4.079,0.185
0.015,7.218049,16.52148194,2231,-3.121,4.083,0.184
0.015,7.245611,17.60398541,2226,-3.129,4.086,0.183
0.015,7.270616,18.64730181,2220,-3.138,4.09,0.183
0.015,7.293438,19.65341388,2214,-3.146,4.094,0.182
0.015,7.314377,20.6241947,2209,-3.154,4.098,0.181
0.015,7.333675,21.56130286,2203,-3.163,4.102,0.18
0.015,7.351532,22.46632308,2197,-3.171,4.106,0.179
0.015,7.368114,23.34070663,2192,-3.179,4.11,0.179
0.015,7.38356,24.18577454,2187,-3.187,4.114,0.178
0.015,7.39799,25.0028779,2181,-3.195,4.117,0.177
0.015,7.411505,25.7931866,2176,-3.203,4.121,0.176
0.015,7.424197,26.55809989,2171,-3.211,4.125,0.175
0.015,7.43614,27.29857643,2165,-3.22,4.129,0.175
0.015,7.447406,28.0159917,2160,-3.228,4.133,0.174
0.015,7.458056,28.71150778,2154,-3.236,4.137,0.173
0.015,7.46814,29.38596791,2148,-3.245,4.14,0.172
0.015,7.476369,29.94808106,2143,-3.252,4.144,0.172
0.015,7.483109,30.41648328,2139,-3.258,4.147,0.171
0.015,7.488647,30.80682915,2135,-3.264,4.149,0.171
0.015,7.493878,31.18013563,2131,-3.27,4.152,0.17
0.015,7.499129,31.55941905,2127,-3.275,4.154,0.17
0.015,7.5044,31.94478724,2123,-3.281,4.157,0.169
0.015,7.509696,32.33672252,2119,-3.288,4.16,0.169
0.015,7.515019,32.73550161,2115,-3.294,4.162,0.168
0.015,7.520372,33.14148772,2110,-3.301,4.165,0.168
0.015,7.525761,33.55529027,2105,-3.308,4.168,0.167
0.015,7.531186,33.97707587,2100,-3.315,4.171,0.166
0.015,7.536654,34.40756983,2094,-3.323,4.174,0.166
0.015,7.542178,34.84801139,2087,-3.332,4.178,0.165
0.015,7.547762,35.29896731,2080,-3.341,4.181,0.165
0.015,7.553413,35.76127547,2073,-3.351,4.184,0.164
0.015,7.559135,36.23556188,2065,-3.36,4.188,0.163
0.015,7.564758,36.70776984,2058,-3.37,4.191,0.163
0.015,7.570197,37.17037991,2050,-3.38,4.195,0.162
0.015,7.575464,37.62391634,2043,-3.39,4.198,0.161
0.015,7.58057,38.06887124,2035,-3.4,4.201,0.161
0.015,7.585527,38.5058753,2027,-3.409,4.205,0.16
0.015,7.590345,38.93543221,2020,-3.419,4.208,0.16
0.015,7.59503,39.35772619,2012,-3.429,4.211,0.159
0.015,7.599593,39.77342583,2005,-3.439,4.214,0.158
0.015,7.60404,40.18278189,1996,-3.449,4.217,0.158
0.015,7.608379,40.5862569,1986,-3.461,4.22,0.157
0.015,7.612619,40.98443949,1976,-3.473,4.223,0.157
0.015,7.616762,41.37728588,1965,-3.485,4.226,0.156
0.015,7.620818,41.7655303,1956,-3.497,4.229,0.156
0.015,7.624789,42.14916739,1946,-3.508,4.232,0.155
0.015,7.628683,42.52878739,1936,-3.519,4.235,0.155
0.015,7.632504,42.90461409,1927,-3.531,4.237,0.154
0.015,7.636254,43.27668636,1917,-3.542,4.24,0.154
0.015,7.639939,43.64545245,1908,-3.553,4.243,0.153
0.015,7.643563,44.01117871,1899,-3.563,4.245,0.153
0.015,7.647129,44.37404301,1893,-3.572,4.248,0.152
0.015,7.650639,44.73413046,1886,-3.581,4.25,0.152
0.015,7.654097,45.0917406,1879,-3.589,4.252,0.152
0.015,7.657504,45.4468723,1873,-3.598,4.255,0.151
0.015,7.660865,45.79994959,1866,-3.606,4.257,0.151
0.015,7.664182,46.15109397,1859,-3.615,4.26,0.15
0.015,7.667456,46.50032626,1852,-3.624,4.262,0.15
0.015,7.67069,46.84788619,1846,-3.632,4.264,0.15
0.015,7.673887,47.19402302,1839,-3.641,4.267,0.149
0.015,7.677047,47.53866702,1832,-3.649,4.269,0.149
0.015,7.680174,47.88218938,1826,-3.658,4.271,0.148
0.015,7.683269,48.22464063,1819,-3.666,4.273,0.148
0.015,7.686332,48.56596248,1812,-3.675,4.275,0.148
0.015,7.689368,48.9066595,1806,-3.683,4.277,0.147
0.015,7.692376,49.24657142,1798,-3.693,4.279,0.147
0.015,7.695359,49.58599131,1785,-3.707,4.282,0.147
0.015,7.698317,49.92487659,1773,-3.722,4.283,0.146
0.015,7.701253,50.26353165,1760,-3.736,4.285,0.146
0.015,7.704167,50.6019205,1748,-3.75,4.287,0.146
0.015,7.70706,50.94012426,1736,-3.763,4.289,0.145
0.015,7.709934,51.27834501,1724,-3.777,4.291,0.145
0.015,7.712789,51.61655317,1713,-3.79,4.292,0.145
0.015,7.721251,52.63213653,1671,-3.838,4.297,0.144
0.015,7.729574,53.65052795,1625,-3.891,4.301,0.143
0.015,7.74048,55.01485846,1590,-3.934,4.307,0.142
0.015,7.751193,56.38881915,1572,-3.958,4.312,0.142
0.015,7.759119,57.42737961,1559,-3.976,4.315,0.141
0.015,7.76956,58.82473779,1542,-4,4.32,0.14
0.015,7.783287,60.71374189,1520,-4.03,4.326,0.139
0.015,7.79462,62.31893172,1503,-4.055,4.33,0.139
0.015,7.801881,63.36960499,1494,-4.068,4.333,0.138
0.015,7.809392,64.47509638,1486,-4.08,4.336,0.138
0.015,7.824486,66.75533812,1470,-4.105,4.342,0.137
0.015,7.832078,67.93256297,1462,-4.118,4.345,0.136
0.015,7.8397,69.1353236,1454,-4.13,4.348,0.136
0.015,7.855046,71.62192674,1437,-4.156,4.353,0.135
0.015,7.862772,72.90746533,1428,-4.169,4.356,0.135
0.015,7.870529,74.22137574,1420,-4.183,4.359,0.134
0.015,7.886125,76.93518457,1402,-4.209,4.364,0.133
0.015,7.893964,78.33647046,1393,-4.224,4.367,0.133
0.015,7.901909,79.78274968,1382,-4.24,4.369,0.132
0.015,7.909942,81.27219699,1372,-4.256,4.372,0.132
0.015,7.926226,84.37737301,1350,-4.288,4.377,0.131
0.015,7.934489,85.99812846,1339,-4.305,4.38,0.131
0.015,7.94284,87.66777816,1328,-4.322,4.382,0.131
0.015,7.951283,89.38877795,1316,-4.34,4.384,0.13
0.015,7.959829,91.1651813,1304,-4.358,4.387,0.13
0.015,7.977292,94.90563515,1285,-4.389,4.391,0.129
0.015,7.986209,96.87439427,1275,-4.404,4.394,0.129
0.015,7.995184,98.89720093,1266,-4.419,4.396,0.128
0.015,8.004222,100.9768922,1256,-4.435,4.398,0.128
0.015,8.013322,103.1150365,1246,-4.451,4.401,0.128
0.015,8.022503,105.3180962,1237,-4.467,4.403,0.127
0.015,8.03176,107.5870501,1227,-4.483,4.405,0.127
0.015,8.041108,109.9279173,1217,-4.499,4.407,0.127
0.015,8.05055,112.3440303,1207,-4.516,4.41,0.126
0.02,5.689884,0.489648017,2594,-2.044,3.392,0.472
0.02,5.70454,0.506453994,2594,-2.052,3.401,0.466
0.02,5.711852,0.515053094,2595,-2.057,3.406,0.464
0.02,5.719153,0.523784931,2595,-2.061,3.41,0.461
0.02,5.733725,0.541657798,2596,-2.07,3.42,0.456
0.02,5.740997,0.550803892,2597,-2.074,3.424,0.454
0.02,5.755512,0.56952396,2598,-2.083,3.434,0.449
0.02,5.762756,0.579103247,2598,-2.087,3.439,0.447
0.02,5.769991,0.588831453,2599,-2.092,3.443,0.444
0.02,5.784435,0.608744429,2600,-2.101,3.453,0.44
0.02,5.791643,0.61893209,2600,-2.105,3.457,0.437
0.02,5.806028,0.639776082,2601,-2.114,3.467,0.432
0.02,5.813206,0.650438141,2601,-2.118,3.471,0.43
0.02,5.820375,0.661264183,2602,-2.123,3.476,0.428
0.02,5.834542,0.683190785,2602,-2.131,3.485,0.423
0.02,5.841681,0.694513993,2603,-2.136,3.49,0.421
0.02,5.855934,0.717685216,2604,-2.145,3.499,0.416
0.02,5.863047,0.729536458,2604,-2.149,3.504,0.414
0.02,5.870155,0.741574863,2603,-2.154,3.509,0.412
0.02,5.884363,0.766236789,2603,-2.164,3.518,0.408
0.02,5.891462,0.778864662,2603,-2.169,3.523,0.405
0.02,5.905651,0.804731497,2602,-2.178,3.532,0.401
0.02,5.912741,0.817976826,2602,-2.183,3.537,0.399
0.02,5.919828,0.831434421,2602,-2.188,3.541,0.397
0.02,5.933992,0.858997698,2601,-2.197,3.551,0.393
0.02,5.941069,0.873110076,2601,-2.202,3.555,0.391
0.02,5.955214,0.902015499,2601,-2.212,3.565,0.386
0.02,5.962282,0.916815612,2600,-2.217,3.569,0.384
0.02,5.969348,0.931854271,2600,-2.222,3.574,0.382
0.02,5.983474,0.962662379,2599,-2.231,3.583,0.378
0.02,5.990534,0.978439552,2599,-2.236,3.588,0.376
0.02,6.004648,1.010759891,2598,-2.246,3.597,0.372
0.02,6.011702,1.027311146,2598,-2.251,3.602,0.37
0.02,6.02581,1.061231176,2597,-2.261,3.611,0.366
