Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.15,7.87582,75.13114369,3174,-2.245,4.819,0.25
0.15,7.882772,76.34348831,3174,-2.249,4.823,0.248
0.15,7.889732,77.57682479,3174,-2.254,4.828,0.247
0.15,7.903685,80.10968056,3173,-2.264,4.837,0.245
0.15,7.910678,81.41004597,3173,-2.268,4.841,0.243
0.15,7.924698,84.08102551,3172,-2.278,4.851,0.241
0.15,7.931727,85.4529382,3172,-2.283,4.855,0.239
0.15,7.945827,88.2728198,3171,-2.292,4.864,0.237
0.15,7.952899,89.72201117,3170,-2.297,4.869,0.236
0.15,7.959987,91.198354,3170,-2.302,4.873,0.235
0.15,7.974213,94.23516602,3169,-2.311,4.882,0.232
0.15,7.981353,95.79724069,3169,-2.316,4.887,0.231
0.15,7.995691,99.01272199,3168,-2.325,4.896,0.228
0.15,8.002891,100.6678979,3167,-2.33,4.9,0.227
0.15,8.010109,102.3549852,3167,-2.335,4.905,0.226
0.15,8.024625,105.8339487,3166,-2.345,4.914,0.224
0.15,8.03176,107.5870501,3165,-2.349,4.918,0.223
0.15,8.039081,109.4160418,3165,-2.354,4.923,0.222
0.15,8.053816,113.1920694,3164,-2.364,4.932,0.219
0.15,8.061226,115.1399403,3163,-2.368,4.936,0.218
0.15,8.07616,119.1680959,3162,-2.378,4.945,0.216
0.15,8.083685,121.2509081,3162,-2.383,4.95,0.215
0.15,8.091252,123.3820552,3161,-2.387,4.954,0.214
0.15,8.106517,127.7959233,3160,-2.397,4.963,0.211
0.15,8.114227,130.0849337,3160,-2.402,4.968,0.21
0.15,8.121993,132.432019,3159,-2.407,4.972,0.209
0.15,8.129816,134.8391481,3159,-2.411,4.977,0.208
0.15,8.145659,139.8488824,3158,-2.421,4.986,0.206
0.15,8.153687,142.4580515,3157,-2.426,4.99,0.205
0.15,8.161796,145.1429681,3156,-2.43,4.995,0.204
0.15,8.169989,147.9070925,3156,-2.435,4.999,0.203
0.15,8.186654,153.6929689,3154,-2.445,5.008,0.201
0.15,8.195144,156.7270647,3154,-2.45,5.012,0.2
0.15,8.203751,159.8641195,3153,-2.455,5.017,0.199
0.15,8.212481,163.1101548,3152,-2.459,5.021,0.198
0.15,8.221349,166.474991,3151,-2.464,5.026,0.197
0.15,8.230365,169.967153,3151,-2.469,5.03,0.196
0.15,8.23954,173.5961143,3150,-2.474,5.034,0.195
0.15,8.258436,181.3159459,3148,-2.484,5.043,0.193
0.15,8.268192,185.4351244,3147,-2.488,5.048,0.192
0.15,8.278179,189.7487834,3147,-2.493,5.052,0.191
0.15,8.288424,194.2781682,3146,-2.498,5.056,0.19
0.15,8.298879,199.0118789,3145,-2.503,5.061,0.189
0.15,8.309724,204.0440805,3144,-2.508,5.065,0.188
0.15,8.320925,209.3750847,3143,-2.512,5.069,0.187
0.15,8.332531,215.0458174,3142,-2.517,5.074,0.186
0.15,8.344599,221.1052221,3142,-2.522,5.078,0.185
0.15,8.356661,227.3322236,3141,-2.526,5.082,0.184
0.15,8.368573,233.6538815,3140,-2.531,5.086,0.184
0.15,8.380331,240.06619,3139,-2.535,5.089,0.183
0.15,8.391931,246.5647568,3138,-2.539,5.093,0.182
0.15,8.403371,253.1459595,3138,-2.542,5.096,0.181
0.15,8.414646,259.8040997,3137,-2.545,5.099,0.181
0.15,8.425754,266.5348488,3137,-2.548,5.102,0.18
0.15,8.436694,273.3342159,3136,-2.551,5.104,0.18
0.15,8.447465,280.19798,3136,-2.554,5.106,0.179
0.15,8.458066,287.1216889,3135,-2.556,5.109,0.179
0.15,8.468497,294.1013378,3135,-2.558,5.111,0.178
0.15,8.478757,301.1320634,3134,-2.56,5.112,0.178
0.15,8.48885,308.2123239,3134,-2.562,5.114,0.178
0.15,8.498772,315.3348714,3133,-2.564,5.116,0.177
0.15,8.50853,322.5002087,3133,-2.566,5.117,0.177
0.15,8.518123,329.7030768,3133,-2.567,5.118,0.177
0.15,8.527553,336.9403324,3133,-2.568,5.119,0.177
0.15,8.536822,344.2088244,3132,-2.57,5.12,0.176
0.15,8.545934,351.5070177,3132,-2.571,5.121,0.176
0.15,8.556622,360.2649401,3132,-2.572,5.122,0.176
0.15,8.569109,370.7737676,3132,-2.573,5.124,0.176
0.15,8.583635,383.3848967,3131,-2.574,5.125,0.176
0.15,8.600449,398.5189707,3131,-2.576,5.126,0.175
0.15,8.619802,416.6793711,3131,-2.577,5.127,0.175
0.15,8.641941,438.4711263,3131,-2.578,5.128,0.175
0.15,8.6671,464.6222461,3130,-2.579,5.129,0.175
0.15,8.695484,496.0026536,3130,-2.58,5.129,0.175
0.15,8.72238,527.6913801,3130,-2.58,5.13,0.175
0.15,8.747706,559.3787962,3130,-2.58,5.13,0.175
0.15,8.771637,591.0673908,3130,-2.581,5.13,0.174
0.15,8.794317,622.7546801,3130,-2.581,5.13,0.174
0.15,8.815872,654.443261,3130,-2.581,5.13,0.174
0.15,8.836407,686.1309343,3130,-2.581,5.131,0.174
0.15,8.856015,717.8190834,3130,-2.581,5.131,0.174
0.15,8.874776,749.5075293,3130,-2.581,5.131,0.174
0.15,8.892759,781.1941817,3130,-2.581,5.131,0.174
0.15,8.910028,812.882923,3130,-2.581,5.131,0.174
0.15,8.926637,844.5726238,3130,-2.581,5.131,0.174
0.15,8.942633,876.2600258,3130,-2.581,5.131,0.174
0.15,8.958061,907.9480495,3130,-2.581,5.131,0.174
0.15,8.97296,939.6367628,3130,-2.581,5.131,0.174
0.15,8.987364,971.3237324,3130,-2.581,5.131,0.174
0.15,9.001305,1003.009393,3130,-2.581,5.131,0.174
0.15,9.014814,1034.69893,3130,-2.581,5.131,0.174
0.15,9.027916,1066.389843,3130,-2.581,5.131,0.174
0.15,9.040634,1098.080047,3130,-2.581,5.131,0.174
0.15,9.052986,1129.759495,3130,-2.581,5.131,0.174
0.15,9.065001,1161.451288,3130,-2.581,5.131,0.174
0.15,9.076691,1193.138886,3130,-2.581,5.131,0.174
0.15,9.088076,1224.830522,3130,-2.581,5.131,0.174
0.15,9.099169,1256.518826,3130,-2.581,5.131,0.174
0.15,9.109983,1288.199126,3130,-2.581,5.131,0.174
0.15,9.120538,1319.890795,3130,-2.581,5.131,0.174
0.15,9.130842,1351.580757,3130,-2.581,5.131,0.174
0.15,9.140907,1383.270133,3130,-2.581,5.131,0.174
0.15,9.150744,1414.95947,3130,-2.581,5.131,0.174
0.15,9.160363,1446.64843,3130,-2.581,5.131,0.174
0.15,9.169771,1478.328672,3130,-2.581,5.131,0.174
0.15,9.178983,1510.021045,3130,-2.581,5.131,0.174
0.15,9.188003,1541.711103,3130,-2.581,5.131,0.174
0.15,9.196839,1573.399472,3130,-2.581,5.131,0.174
0.15,9.205499,1605.088562,3130,-2.581,5.131,0.174
0.15,9.213988,1636.771295,3130,-2.581,5.131,0.174
