Cluster Name,Age (Myr),Age (Myr) Err,Disk Fraction,Disk Fraction Err
NGC 1333  ,1,0.5,66,6
Taurus ,2,0.75,63,4
Cha I  ,2,1,52,6
IC 348  ,2,1,36,3
$\sigma$-Orionis  ,3,1,39,6
$\lambda$-Orionis  ,4,0.5,26,7
$\eta$ Cha  ,6.5,3,21,9
25 Orionis ,7.5,1.5,9,5
Upper Sco ,11,5.5,16,6
